position_or_role,to_league,age_band,row_count,fee_rate,mv_rate,fbref_perf_rate,wage_prior_rate
MID,Serie A,21-24,1241,0.45527800161160353,0.59709911361805,0.5672844480257857,0.42868654311039484
DEF,Unknown,33+,1220,0.03442622950819672,0.3942622950819672,0.3819672131147541,0.19098360655737706
Defender,Unknown,<21,1206,0.0845771144278607,0.5414593698175788,0.11774461028192372,0.015754560530679935
Midfield,Unknown,<21,1163,0.07394668959587274,0.5537403267411866,0.13069647463456577,0.010318142734307825
DEF,Ligue 1,21-24,1156,0.2673010380622837,0.6505190311418685,0.6288927335640139,0.4835640138408305
MID,Ligue 1,21-24,1112,0.26348920863309355,0.5899280575539568,0.5800359712230215,0.454136690647482
MID,Serie A,<21,1094,0.22851919561243145,0.5,0.48171846435100546,0.37751371115173676
FWD,La Liga,25-28,1068,0.3249063670411985,0.6376404494382022,0.5945692883895131,0.2050561797752809
FWD,Serie A,21-24,1052,0.45817490494296575,0.6311787072243346,0.5655893536121673,0.41064638783269963
GK,Unknown,<21,1041,0.027857829010566763,0.5129682997118156,0.37848222862632086,0.39481268011527376
GK,Unknown,25-28,1031,0.1008729388942774,0.5412221144519883,0.4772065955383123,0.3501454898157129
FWD,Serie A,<21,1026,0.297270955165692,0.5730994152046783,0.5399610136452242,0.3888888888888889
DEF,Serie A,<21,1006,0.2355864811133201,0.4870775347912525,0.4761431411530815,0.3658051689860835
MID,Bundesliga,21-24,1004,0.39243027888446214,0.6095617529880478,0.5627490039840638,0.46713147410358563
FWD,Bundesliga,21-24,1003,0.4317048853439681,0.7128614157527418,0.6510468594217348,0.5254237288135594
Attack,Unknown,25-28,993,0.23564954682779457,0.9979859013091642,0.28700906344410876,0.42799597180261834
MID,Ligue 1,<21,992,0.1159274193548387,0.4909274193548387,0.5897177419354839,0.46673387096774194
MID,Unknown,33+,988,0.04251012145748988,0.3815789473684211,0.3724696356275304,0.19838056680161945
FWD,Premier League,25-28,970,0.45670103092783504,0.6371134020618556,0.588659793814433,0.38762886597938145
DEF,Premier League,25-28,960,0.446875,0.5958333333333333,0.5416666666666666,0.390625
DEF,Bundesliga,21-24,952,0.4254201680672269,0.6586134453781513,0.601890756302521,0.5189075630252101
DEF,Serie A,25-28,952,0.41911764705882354,0.6102941176470589,0.601890756302521,0.4317226890756303
MID,Bundesliga,<21,944,0.24364406779661016,0.652542372881356,0.5879237288135594,0.5307203389830508
FWD,Ligue 1,<21,938,0.13539445628997868,0.5660980810234542,0.6727078891257996,0.4669509594882729
DEF,La Liga,25-28,923,0.28494041170097506,0.6110509209100758,0.5731310942578548,0.20151679306608883
MID,Serie A,25-28,911,0.42041712403951703,0.5894621295279913,0.5762897914379802,0.4083424807903403
DEF,Ligue 1,<21,898,0.12138084632516703,0.4844097995545657,0.5757238307349666,0.4420935412026726
MID,La Liga,25-28,895,0.28044692737430166,0.5363128491620112,0.488268156424581,0.19553072625698323
FWD,Ligue 1,25-28,843,0.29062870699881377,0.5421115065243179,0.5338078291814946,0.29537366548042704
MID,Premier League,25-28,828,0.45652173913043476,0.5664251207729468,0.5314009661835749,0.4178743961352657
Defender,Unknown,25-28,823,0.22721749696233293,0.9963547995139733,0.2648845686512758,0.44471445929526127
GK,Unknown,33+,790,0.04177215189873418,0.3810126582278481,0.3569620253164557,0.22278481012658227
Midfield,Unknown,25-28,790,0.2,0.9911392405063291,0.24430379746835443,0.43037974683544306
DEF,Ligue 1,25-28,775,0.25290322580645164,0.5574193548387096,0.5458064516129032,0.3548387096774194
FWD,Unknown,33+,765,0.07450980392156863,0.4222222222222222,0.40784313725490196,0.1843137254901961
FWD,Serie A,25-28,757,0.4953764861294584,0.5957727873183619,0.5468956406869221,0.3857331571994716
FWD,Bundesliga,<21,740,0.24864864864864866,0.6648648648648648,0.5851351351351352,0.48783783783783785
GK,Unknown,29-32,716,0.0935754189944134,0.4958100558659218,0.45391061452513964,0.3365921787709497
DEF,Bundesliga,<21,711,0.23347398030942335,0.6835443037974683,0.5850914205344585,0.5485232067510548
MID,Ligue 1,25-28,694,0.2564841498559078,0.4783861671469741,0.47262247838616717,0.35446685878962536
FWD,Bundesliga,25-28,686,0.4752186588921283,0.5626822157434402,0.5131195335276968,0.40816326530612246
MID,Bundesliga,25-28,654,0.4617737003058104,0.4510703363914373,0.43425076452599387,0.3195718654434251
DEF,Bundesliga,25-28,646,0.4535603715170279,0.5232198142414861,0.4984520123839009,0.38544891640866874
FWD,Premier League,29-32,555,0.28468468468468466,0.5693693693693693,0.5333333333333333,0.2972972972972973
